INVOICE_ID,CUSTOMER_NAME,PRODUCT,PRICE,QUANTITY,DATE
INV5207,Tyler Barnes,Tablet,390.22,2,03-02-2024
INV1802,James Orr,Phone,1793.37,3,21-02-2024
INV9347,Unknown,Tablet,281.7,2,
INV3235,Kimberly Casey,Headphones,1994.4,2,05-02-2024
INV4737,Ronald Sullivan,Headphones,265.95,2,
INV9281,Jack Garcia,Headphones,647.5,1,
INV8884,Dustin Griffin,Headphones,1962.75,1,
INV5927,Gene Johns,Phone,358.49,3,12-02-2024
INV4459,Terry Delgado,Phone,1515.97,2,
INV4396,Laura Colon,Phone,1882.18,1,
INV4182,Sylvia Robbins,Headphones,1073.2,1,30-01-2024
INV1052,Bruce Valentine,Headphones,1867.39,3,20-02-2024
INV2270,Kevin Cook,Laptop,977.45,1,24-02-2024
INV7474,Martin Harding,Phone,1085.43,3,
INV9348,Tommy Brady,Headphones,798.89,4,
INV8102,Marcia Cooper,Headphones,1156.92,1,09-01-2024
INV1186,Eric Palmer,Laptop,1654.73,4,01-01-2024
INV5254,Julie Ray,Laptop,1845.98,5,
INV4988,John Marshall,Headphones,224.84,5,02-03-2024
INV2281,Rebecca Crawford,Phone,1922.98,5,25-01-2024
INV6465,Mark Castillo,Tablet,254.23,1,18-01-2024
INV5809,Autumn Bauer,Laptop,1028.33,4,
INV6445,Robert Burton Md,Phone,135.26,5,23-03-2024
INV7279,Robin Long,Laptop,1923.37,3,
INV3725,Maria Hernandez,Headphones,1360.81,1,17-01-2024
INV7184,Lauren Baldwin,Headphones,240.34,5,20-01-2024
INV5709,Teresa Jones,Headphones,1074.774037,1,29-01-2024
INV4749,Kendra Davis,Tablet,1316.93,4,23-02-2024
INV3802,Phillip Sutton,Tablet,1655.49,4,01-08-2024
INV1519,Jerry Lopez,Laptop,390.37,3,01-03-2024
INV2535,Tamara Munoz,Phone,1239.17,5,12-03-2024
INV9273,Denise Johnson,Phone,1659.04,3,
INV7893,Victoria Gray,Laptop,741.3,3,29-02-2024
INV7789,Elizabeth Smith,Tablet,1776.07,1,
INV4805,Brandon Torres,Tablet,1835.31,1,
INV8032,Angela Simpson,Laptop,164.17,1,17-03-2024
INV1227,Alison Greene,Headphones,439.38,3,01-08-2024
INV5565,Benjamin Davis,Headphones,1121.51,5,06-01-2024
INV2464,Heather Wood,Laptop,1142.66,5,
INV6492,Mary Nguyen,Phone,1962.25,2,26-03-2024
INV5529,Blake Anderson,Tablet,963.54,4,
INV6083,Lisa Chung,Headphones,986.67,3,10-01-2024
INV4924,Katherine Roberts,Laptop,1506.09,2,
INV4910,Tamara Becker,Headphones,1867.49,2,15-03-2024
INV9880,Leslie Serrano,Headphones,1583.95,1,
INV3614,Cynthia Jones,Headphones,1475.8,5,20-01-2024
INV2630,Jason Grimes Md,Laptop,1458.25,2,
INV9712,Charles Stephens,Laptop,1581.61,1,13-01-2024
INV1139,Nicole Lucas,Phone,1168.47,3,14-02-2024
INV9114,Unknown,Headphones,615.62,4,
INV7331,Veronica Bennett,Laptop,832.93,4,05-01-2024
INV4063,Kyle Shah,Headphones,1704.7,2,02-01-2024
